Rank,Title,Year,IMDb Rating,URL
1,F1: The Movie,,7.7,https://www.imdb.com/title/tt16311594/?ref_=ls_i_1
2,Superman,,7.1,https://www.imdb.com/title/tt5950044/?ref_=ls_i_2
3,One Battle After Another,,7.8,https://www.imdb.com/title/tt30144839/?ref_=ls_i_3
4,Sinners,,7.5,https://www.imdb.com/title/tt31193180/?ref_=ls_i_4
5,Weapons,,7.5,https://www.imdb.com/title/tt26581740/?ref_=ls_i_5
6,Thunderbolts*,,7.1,https://www.imdb.com/title/tt20969586/?ref_=ls_i_6
7,Ballerina,,6.8,https://www.imdb.com/title/tt7181546/?ref_=ls_i_7
8,Frankenstein,,7.5,https://www.imdb.com/title/tt1312221/?ref_=ls_i_8
9,Mission: Impossible - The Final Reckoning,,7.2,https://www.imdb.com/title/tt9603208/?ref_=ls_i_9
10,The Fantastic Four: First Steps,,6.8,https://www.imdb.com/title/tt10676052/?ref_=ls_i_10
11,Wake Up Dead Man,,7.4,https://www.imdb.com/title/tt14364480/?ref_=ls_i_11
12,28 Years Later,,6.6,https://www.imdb.com/title/tt10548174/?ref_=ls_i_12
13,Predator: Badlands,,7.3,https://www.imdb.com/title/tt31227572/?ref_=ls_i_13
14,The Accountant 2,,6.6,https://www.imdb.com/title/tt7068946/?ref_=ls_i_14
15,Jurassic World: Rebirth,,5.8,https://www.imdb.com/title/tt31036941/?ref_=ls_i_15
16,The Naked Gun,,6.4,https://www.imdb.com/title/tt3402138/?ref_=ls_i_16
17,Final Destination: Bloodlines,,6.7,https://www.imdb.com/title/tt9619824/?ref_=ls_i_17
18,How to Train Your Dragon,,7.8,https://www.imdb.com/title/tt26743210/?ref_=ls_i_18
19,Tron: Ares,,6.2,https://www.imdb.com/title/tt6604188/?ref_=ls_i_19
20,Happy Gilmore 2,,6.1,https://www.imdb.com/title/tt31868189/?ref_=ls_i_20
21,Companion,,6.9,https://www.imdb.com/title/tt26584495/?ref_=ls_i_21
22,Anaconda,,6.0,https://www.imdb.com/title/tt33244668/?ref_=ls_i_22
23,Black Phone 2,,6.1,https://www.imdb.com/title/tt29644189/?ref_=ls_i_23
24,The Gorge,,6.7,https://www.imdb.com/title/tt13654226/?ref_=ls_i_24
25,Avatar: Fire and Ash,,7.4,https://www.imdb.com/title/tt1757678/?ref_=ls_i_25
26,The Long Walk,,6.7,https://www.imdb.com/title/tt10374610/?ref_=ls_i_26
27,Mickey 17,,6.7,https://www.imdb.com/title/tt12299608/?ref_=ls_i_27
